Cell ID,AP amplitude (mV),AP threshold (mV),AP width (ms),Adaptation ratio,After hyperpolarization (mV),Avg ISI,F I curve slope,Fast trough V (long square) (millivolts),Fast trough V (ramp) (millivolts),Fast trough V (short square) (millivolts),Input resistance (MΩ),Peak V (long square) (millivolts),Peak V (ramp) (millivolts),Peak V (short square) (millivolts),Rebound APs (number),Resting membrane potential (mV),Sag ratio,Threshold I (long square) (picoamps),Threshold I (ramp) (picoamps),Threshold I (short square) (picoamps),Threshold V (long square) (millivolts),Threshold V (ramp) (millivolts),Threshold V (short square) (millivolts),Trough V (long square) (millivolts),Trough V (ramp) (millivolts),Trough V (short square) (millivolts),Upstroke/downstroke ratio (long square),Upstroke/downstroke ratio (ramp),Upstroke/downstroke ratio (short square)
716307564,70.28125,-38.9375,0.3999999999999,0.0,21.6875,0.0,0.774687495353811,-60.625,-59.90625,-63.4479217529297,125.468894839286,31.34375,22.6250019073486,33.875,0.0,-73.6830318995884,0.090633057057858,190.0,262.0,530.0,-38.9375,-31.7812519073486,-45.4270846048991,-60.9062538146973,-60.0937538146973,-73.9166692097982,1.54352536874453,1.39259538867627,1.59685684591119
716317136,73.5000038146972,-39.0,0.619999999999799,0.221203564317195,7.12500381469727,36.98,0.115714285714285,-46.1250038146972,-41.640625,-48.3000022888183,234.843745827674,34.5000038146972,28.9531269073486,33.6187507629394,0.0,-59.5463027954101,0.127829432487487,50.0,92.4375,400.0,-39.0,-32.625,-40.1437522888183,-49.28125,-44.40625,-60.0750030517578,2.44700800339353,2.10355439595483,2.42807667640012
716325525,68.5859375,-34.96875,0.975,0.000337981659050421,11.2890625,81.1509090909091,0.137499999999999,-46.5,-46.046875,-48.3802115122477,70.1564028859138,34.21875,34.3125,32.552084604899,0.0,-60.1651263766818,0.092771790921688,100.0,95.0,450.0,-35.25,-35.59375,-38.0312538146972,-51.5625038146972,-51.921875,-61.4218762715657,4.87929329510329,4.89031071317514,3.5914689994536
716330705,62.53125,-32.78125,0.7959999999999,0.036104972115679,9.3125,24.128,0.076428581880064,-44.90625,-44.1458396911621,-49.6437515258789,204.531162977218,33.25,30.6041660308838,35.96875,0.0,-63.2942584991455,0.0937280356884,80.0,67.5,400.0,-36.46875,-31.6875,-41.4749984741211,-45.0,-44.6458320617676,-63.875,3.03324459162087,2.54387583099367,3.14993869636261
716473635,64.4687519073486,-40.28125,0.8799999999999,0.126959630425636,10.1875038146972,69.825,0.29,-50.4687538146973,-51.5937538146973,-56.3526802062988,176.250115036964,24.1875019073486,18.609375,18.6339282989502,0.0,-76.4797744750977,0.005337965674698,50.0,65.0,469.999969482422,-40.28125,-38.71875,-38.96875,-50.96875,-52.5312538146973,-76.9151763916016,3.37999941234091,2.89236807126798,2.82054006356577
716477575,70.6458320617675,-40.0520820617675,0.7333333333334,0.015153507084713,14.71875,28.9890909090909,0.033571431030546,-55.0000038146973,-56.0000038146973,-57.4947929382324,196.09385728836,32.0,29.328125,30.4791660308838,0.0,-76.1079162597656,0.017928134649992,29.9999980926514,36.0,350.0,-40.5,-41.59375,-40.5885442097982,-55.28125,-56.1562538146973,-77.0416641235352,3.00541889154163,2.88673865880101,3.02451877586365
716492058,72.7812538146972,-37.5,0.839999999999899,0.056397403035313,5.84375381469727,71.838,0.132684179759439,-43.3437538146973,-42.1562538146973,-48.015625,252.968698740005,35.2812538146973,32.0,31.40625,0.0,-68.2524903615316,0.014546185731888,90.0,89.125,249.999984741211,-37.5,-37.1875,-41.2343788146973,-43.9687538146973,-43.3125,-68.75,3.74425159174317,3.45882439820772,3.61506839402818
716506444,73.2968730926513,-30.5572910308837,0.93,0.016012562493108,12.0963535308837,26.5977777777778,0.437499991059304,-42.9687538146973,-41.71875,-42.8125,394.53113079071,43.9375,42.1875,44.2395820617676,0.0,-60.840126991272,0.050222329795361,29.9999980926514,30.125,180.0,-33.8437538146973,-29.3437519073486,-35.4895820617676,-44.65625,-44.9375038146973,-62.1145820617676,3.67066885174768,4.20393701716175,3.69323665502692
716527368,77.3406257629394,-31.2781257629394,0.912,0.015659543234915,15.2687492370605,33.5413793103448,0.361966825515303,-46.3750038146973,-46.1875,-47.7187538146973,184.06257033348,48.5937538146973,43.9062538146973,47.5000038146973,0.0,-63.2602335611979,0.068955570459366,40.0,37.0,270.0,-33.6250038146973,-32.9687538146973,-34.2500038146973,-46.7187538146973,-48.8437538146973,-64.53125,3.68223973669864,3.57288915550168,3.48978937439481
716556217,57.2812519073486,-33.515625,1.1099999999999,0.000768813494904,19.4062538146972,89.118,0.152142857142857,-52.3750038146973,-54.1250038146973,-57.4821472167969,106.71866685152,24.5000019073486,25.328125,25.3392848968506,0.0,-69.551880730523,0.101463586091995,150.0,134.0,580.0,-35.0,-36.375,-41.34375,-56.8125038146973,-58.046875,-70.2053604125977,3.95462506746302,4.00317943403884,2.55630826744122
