Cell ID,AP Fano factor,AP amplitude (mV),AP amplitude adaptation index,AP amplitude average adaptation index,AP coefficient of variation,AP threshold (mV),AP width (ms),Afterdepolarization (mV),Burstiness,ISI Fano factor,ISI average adaptation index,ISI coefficient of variation,Input resistance (MΩ),Latency (ms),Latency @ +20pA current (ms),Rebound (mV),Rebound APs (number),Resting membrane potential (mV),Rheobase (pA),Sag area (mV*s),Sag ratio,Sag time (s),Wildness
20190424_sample_2,0.164236885043661,85.6079384684562,0.94672346013834,0.995786704678358,0.0487920113949726,-38.1049029529094,0.680000000000013,0.0,0.0,0.000359993047281456,1.02486877233751,0.168201277679461,160.959959504504,26.0799999999999,15.44,0.803736077005396,0,-66.9841194108128,117.560975609756,0.0,1.04672789053797,0.0,0
20190424_sample_3,6.30813543865234,87.3702578246593,0.773379896916373,0.928202865160949,0.379242925473159,-37.4305769801139,1.40000000000001,0.0,0.0,0.00370795664113311,1.15650611826568,0.258821687678344,188.346307173371,71.4,26.32,1.39996521015402,0,-55.6086925096809,36.5217391304347,0.0,1.06048858466462,0.0,0
20190424_sample_4,1.2757187103431,93.595240265131,0.8953342688905,0.977275255189777,0.185001348090916,-36.1792892217636,1.40000000000001,0.0,0.348115299334811,0.00254131606229824,1.2106429015527,0.328301441127631,133.081500229736,61.16,33.4,0.571686990733596,0,-69.163430596888,123.636363636363,0.0,1.05698383619713,0.0,0
20190424_sample_5,2.4013335726269,92.6484726369381,0.860338824487133,0.979760381110465,0.212275954074837,-43.7542460858821,1.28,0.0,0.245192307692307,0.00131175939849624,1.15467725622648,0.206372456641547,144.054314764837,32.08,10.56,1.89835363786541,0,-54.1799206167459,40.0,0.0,1.07780479859792,0.0,0
20190424_sample_6,2.76670970605512,89.21555057168,0.622693421229662,1.02270009236834,0.214869252555823,-23.3668200671672,1.95999999999996,0.0,0.658568614576494,0.00539042012161415,4.51669025146525,0.334277894344001,120.832202327748,236.68,105.0,0.0725151701581126,0,-64.7602505177259,140.0,0.0,1.05484164483608,0.0,0
20190424_sample_7,0.751091406444206,74.3387341499328,0.838493565788141,0.993241699766068,0.11510721871688,-27.6615656912326,1.0,2.10428982973098,0.0,0.00187729017574321,1.22514322891886,0.269846582886443,205.718356353541,48.76,19.32,1.83479053681454,0,-59.1949476726353,120.0,0.0,1.00140522557947,0.0,2
20190425_sample_1,2.87341468300995,95.0661525130271,0.498268477164014,1.01896775523473,0.2016616605363,-39.8215353488922,1.83999999999998,0.0,0.641571194762684,0.00444612029813428,1.60459456032857,0.314781243874442,159.015732732911,47.0,26.2799999999999,0.480753374409616,0,-67.8490491569042,120.0,0.0,1.06902924882715,0.0,0
20190425_sample_12,0.777004783435228,90.2202539145946,0.851240309637549,0.975951016300295,0.106170402161187,-35.2836623787879,1.40000000000001,0.0,0.293207222699913,0.00328145812178688,1.15878420974186,0.251779892764532,255.942262763778,68.2,38.48,0.58935198022003,0,-79.3940809175372,80.0,0.0,1.00842270495556,0.0,0
20190425_sample_13,1.28202769960102,79.4755965471267,0.905359315608542,0.979909355964196,0.154736438501731,-34.7149558365345,1.64,0.0,0.136405529953917,0.00149672883374001,1.11930112714384,0.183749626509221,378.172755179305,62.24,34.68,1.09802097747186,0,-72.4017055988311,60.0,0.0,1.00747072116513,0.0,0
20190425_sample_14,1.55468149077576,93.7845185399055,0.878792433680954,0.981845961804837,0.216041560877554,-36.5045927464962,1.36,0.0,0.287037037037037,0.00169882003660877,1.10039044275106,0.283036687853697,205.759484194219,139.24,43.92,0.758036595965336,0,-78.1436105653643,100.0,27.4740581767262,1.09454744525886,0.22696,0
20190425_sample_16,1.39211807212898,92.5674960017204,0.607465106643832,1.00706049005178,0.140379998850804,-39.8544110357761,1.71999999999999,0.0,0.562245728234336,0.00164872042128299,1.26737851597504,0.212373397322053,221.864235078295,119.68,61.96,0.303911142183579,0,-82.1705691501498,60.8,0.0,1.0287803395096,0.0,1
20190425_sample_4,5.06888639799186,92.0610539615154,0.815556251780411,0.964703851114886,0.332152578580047,-35.8201079070568,1.39999999999998,0.0,0.282534246575342,0.00456862142429683,1.22198449679036,0.350760449501344,174.729949869215,42.96,61.04,0.449879462987169,0,-96.362309898436,200.0,0.0,1.01652385351368,0.0,0
20190425_sample_6,3.11179055682863,89.0782177448272,0.929001683994822,0.965474765561869,0.241707190914967,-44.0730415284633,0.960000000000016,0.0,0.0,0.048123165946996,1.76688475530367,1.08936650143169,398.234704025089,178.12,107.12,11.3912079455114,3,-62.8602024041116,20.0,56.7178314891457,1.13235092218762,0.43748,0
20190425_sample_7,2.28808654564625,85.6128260493278,0.773031052101991,0.996755320928776,0.19942887052378,-28.7889949977397,1.19999999999997,0.0,0.672932330827067,0.00219738959442851,1.55490005897177,0.273891792996944,142.750759770472,73.36,44.32,0.21304758521687,0,-73.3869542837142,167.272727272727,0.0,1.05927770371409,0.0,0
20190425_sample_8,0.979802456635049,93.1018590927124,0.771891474078855,0.984152527756128,0.123423428085187,-43.2930625975132,1.43999999999999,0.0,0.295046661880832,0.00125259272420784,1.06050470743196,0.179165295394318,297.650679717461,33.56,22.0,2.57506919149543,0,-76.2122396513819,80.0,0.0,1.02948372863835,0.0,0
20190425_sample_9,1.32908093937279,97.5435748696327,0.895671936197906,0.983010532038704,0.208016181320619,-41.514478623867,1.39999999999998,0.0,0.156644394951744,0.00114978960656427,1.08669434007257,0.237582077031644,187.150495613614,67.0,34.76,0.657543125751942,0,-70.0054900944233,80.0,0.0,1.08763244434316,0.0,0
20190429_sample_1,1.37554455984081,82.435593008995,0.883257278409712,0.994520588210283,0.163415058345329,-42.1806499361991,0.560000000000004,0.0,0.0,0.000117074660346844,1.01492059859158,0.118889485718864,248.619407928238,7.36,5.4,1.9896635815521,0,-60.4148747868835,80.0,30.116750266701,1.10769644784784,0.28432,0
20190429_sample_4,4.65095055112106,77.954176813364,0.935486846394835,0.996726646172695,0.344277113594982,-39.6377593278884,0.640000000000001,0.0,0.0,0.00022697573741651,1.01449767809114,0.150805462074281,166.465701177716,36.92,20.4799999999999,1.89013734842323,0,-78.6510729536414,160.0,0.0,1.06165248644026,0.0,0
20190429_sample_5,1.24646036510818,64.0300828963518,0.9677347356121,0.998793732757882,0.165615184868986,-35.0638553500175,0.480000000000035,0.0,0.0,3.69194942860666e-05,1.01295032579724,0.0869446692348539,95.7602049889308,448.72,14.4,1.10165885855322,0,-64.5861747980117,195.728155339805,0.0,1.07051202829507,0.0,0
20190429_sample_6,0.869629141777249,76.1501640081405,0.929539074126618,0.99560966582152,0.143124193299735,-36.0911451280117,0.719999999999998,0.0,0.0,0.000417622980063113,1.00746496471522,0.183261466246707,191.227583654224,28.4399999999999,21.88,2.6550262354674,0,-81.5492254838347,160.0,53.1454618982975,1.12592753502427,0.44992,0
20190429_sample_7,5.70259810728196,85.9847553074359,0.837347895210871,1.00327447258155,0.365624492695998,-32.9500660300254,1.15999999999999,3.77840548753738,0.432314410480349,0.00271451414267133,1.40254373728827,0.365063926145079,219.917934123426,97.24,38.56,2.38433554347044,0,-61.0156749404966,60.0,0.0,1.09011121968013,0.0,0
20190430_sample_1,1.60333942826551,80.4784037172794,0.907206594765465,0.985447934179559,0.175770845270765,-31.9729037582874,0.879999999999991,0.0,0.0,0.00204969557880526,1.05573363021316,0.294058584894583,471.803368205825,410.84,47.56,4.52903474928037,0,-56.3418224543333,20.0,44.8539645425977,1.10769053865677,0.46032,0
20190430_sample_10,3.01725308602599,87.4506793916225,0.638738977944195,1.000122603127,0.226908121101215,-38.1696224212646,1.76000000000001,0.0,0.264285714285714,0.00334782655078861,1.21837964014394,0.294268015752461,198.340495675802,103.2,60.0799999999999,0.0398553245224775,0,-81.6074657678604,100.0,0.0,1.04912279337862,0.0,0
20190430_sample_3,2.95233570753792,80.1884457468986,0.741272363320745,0.988599864824293,0.27582426140874,-36.9707196950912,0.680000000000013,0.0,0.563282336578581,0.00136681116596926,1.17079625304181,0.278953654313565,328.677089313666,108.679999999999,28.32,7.00206045533345,0,-57.0096643835306,20.0,37.0989380565287,1.17062924261717,0.42636,0
20190430_sample_4,3.66676863047962,95.7612544298172,0.777116085266903,0.989083752681493,0.251800070538997,-45.2181249856948,0.920000000000004,3.10427695512771,0.700934579439252,0.00954808724139709,1.40810021807452,0.58260874498945,332.128296742836,13.6399999999999,8.12,1.92262525462124,0,-60.1974958792328,60.0,0.0,1.09799652808124,0.0,0
20190430_sample_5,4.18261462234069,94.9060581624507,0.765936528412017,0.985135558169919,0.300078307100171,-35.1724289357662,0.800000000000009,8.02765041589737,0.576502732240437,0.00218015090093083,1.10740704998852,0.340630565269326,574.353192274769,7.51999999999999,4.15999999999999,1.90176721259486,0,-50.5484659597277,40.0,51.1416773244734,1.07753669455556,0.49424,0
20190430_sample_6,2.82716216274402,86.147952824831,0.783548237013667,0.986295870892788,0.255564712771671,-38.3691899478435,0.800000000000022,0.0,0.0,0.00130736706197184,1.05525676101434,0.264881109459729,364.023920893669,34.44,21.12,3.64354379150543,0,-68.3527038931846,60.0,0.0,1.08163995804153,0.0,0
20190430_sample_7,4.25394634460721,87.007813155651,0.754954332265523,0.997401989297099,0.263316448703127,-35.4358106851577,1.19999999999997,0.0,0.625615763546797,0.00198392568064753,1.49824860134308,0.282183914522769,170.81605369846,171.96,57.28,0.179088468678415,0,-68.8237466871738,90.0,0.0,1.02420995723466,0.0,0
20190430_sample_8,4.40757345979642,79.4881209731102,0.890437793589451,0.988544063840743,0.282482453647572,-35.833902657032,1.07999999999999,0.0,0.472067039106144,0.00253607380274046,1.09512923196341,0.340764721418715,291.509123891592,57.44,22.76,1.31241662205776,0,-78.473148342967,100.0,0.0,1.04132512148439,0.0,16
20190430_sample_9,0.6419406412308,94.0456166863441,0.928199485402249,0.982714319150263,0.0942678684394064,-36.4614687860012,1.44000000000002,0.0,0.387029288702929,0.00304966571155682,1.26201191876081,0.269850223392295,77.3257079124449,91.6,55.96,0.0720769567983126,0,-65.7622651427984,200.0,0.0,1.00984953555869,0.0,0
20190501_sample_1,2.37387930592445,72.9748830199241,0.685155750253067,0.949654850956364,0.232395058064681,-34.2124104499816,1.03999999999999,0.0,0.0,0.000717372516707866,1.04469945432086,0.171912579664824,469.6482635128,12.9999999999999,0.719999999999998,11.2386303943349,2,-43.1491883397102,0.0,64.8985006096957,1.24793751849871,0.48188,0
