Cell ID,After depolarization (mV),ISI adaptation index,Max number of APs,Membrane time constant (ms),Sex,Spike frequency adaptation,Upstroke-to-downstroke ratio,VISp_T_1,VISp_T_2,VISp_T_3,CTKE_T_1,CTKE_T_2,CTKE_T_3,VISp_MET_1,VISp_MET_2,VISp_MET_3
Q2C129,0.0,1.25719591457753,68,13.3840426022053,F,0.763157894736842,1.07675776461737,unk,unk,unk,unk,unk,unk,unk,unk,unk
Q2C130,0.0,1.03020134228188,33,13.058772009394,M,0.65,1.27768852894734,unk,unk,unk,unk,unk,unk,unk,unk,unk
Q2C131,0.0,1.51873536299765,27,16.5068199301236,M,0.6875,1.55150319293093,unk,unk,unk,unk,unk,unk,unk,unk,unk
Q2C132,0.0,1.54054054054053,22,16.5454646946157,M,0.294117647058823,1.42892122414814,unk,unk,unk,unk,unk,unk,unk,unk,unk
Q2C133,0.0,1.3566037735849,47,17.1006026344619,M,0.703703703703703,1.4732320909732,unk,unk,unk,unk,unk,unk,unk,unk,unk
Q2C134,0.0,1.44802867383512,10,16.7903743219729,M,0.111111111111111,1.47128549159869,unk,unk,unk,unk,unk,unk,unk,unk,unk
Q2C135,0.0,0.766233766233764,42,15.6353796481532,M,0.68,1.24434946786386,unk,unk,unk,unk,unk,unk,unk,unk,unk
Q2C136,0.0,1.22807017543859,31,15.7464221379374,M,0.631578947368421,1.13061282160469,unk,unk,unk,unk,unk,unk,unk,unk,unk
Q2C137,0.0,2.33685601056803,28,9.12419023187116,F,0.8,2.62440388148469,unk,unk,unk,unk,unk,unk,unk,unk,unk
Q2C138,0.0,2.48532731376975,25,14.3782274102405,M,0.846153846153846,2.70479540976589,unk,unk,unk,unk,unk,unk,unk,unk,unk
Q2C139,0.0,1.09160305343511,31,11.5631760228358,F,0.578947368421052,1.35224936137391,unk,unk,unk,unk,unk,unk,unk,unk,unk
Q2C140,0.0,1.58917197452229,56,11.7649591859776,F,0.774193548387096,1.11180993250508,unk,unk,unk,unk,unk,unk,unk,unk,unk
Q2C141,0.0,1.48333333333333,28,18.9636601396384,M,0.473684210526315,1.82223346357889,unk,unk,unk,unk,unk,unk,unk,unk,unk
Q2C142,4.8488862812519,1.09894566098945,102,11.971940534551,M,0.741379310344827,0.922225676878278,unk,unk,unk,unk,unk,unk,unk,unk,unk
Q2C143,0.0,1.0544747081712,33,15.04893552305,M,0.65,1.24667560873138,unk,unk,unk,unk,unk,unk,unk,unk,unk
Q2C144,0.0,0.994296577946769,30,10.9117154945196,M,0.5,1.20147277629245,unk,unk,unk,unk,unk,unk,unk,unk,unk
