,Lamp5_Fam19a1_Pax6,Lamp5_Fam19a1_Tmem182,Lamp5_Krt73,Lamp5_Lhx6,Lamp5_Lsp1,Lamp5_Ntn1_Npy2r,Lamp5_Plch2_Dock5,Pvalb_Akr1c18_Ntf3,Pvalb_Calb1_Sst,Pvalb_Gabrg1,Pvalb_Gpr149_Islr,Pvalb_Reln_Itm2a,Pvalb_Reln_Tac1,Pvalb_Sema3e_Kank4,Pvalb_Th_Sst,Pvalb_Tpbg,Pvalb_Vipr2,Serpinf1_Aqp5_Vip,Serpinf1_Clrn1,Sncg_Gpr50,Sncg_Slc17a8,Sncg_Vip_Itih5,Sncg_Vip_Nptx2,Sst_Calb2_Necab1,Sst_Calb2_Pdlim5,Sst_Chodl,Sst_Chrna2_Glra3,Sst_Chrna2_Ptgdr,Sst_Crh_4930553C11Rik,Sst_Crhr2_Efemp1,Sst_Esm1,Sst_Hpse_Cbln4,Sst_Hpse_Sema3c,Sst_Mme_Fam114a1,Sst_Myh8_Etv1,Sst_Myh8_Fibin,Sst_Nr2f2_Necab1,Sst_Nts,Sst_Rxfp1_Eya1,Sst_Rxfp1_Prdm8,Sst_Tac1_Htr1d,Sst_Tac1_Tacr3,Sst_Tac2_Myh4,Sst_Tac2_Tacstd2,Vip_Arhgap36_Hmcn1,Vip_Chat_Htr1f,Vip_Col15a1_Pde1a,Vip_Crispld2_Htr2c,Vip_Crispld2_Kcne4,Vip_Gpc3_Slc18a3,Vip_Igfbp4_Mab21l1,Vip_Igfbp6_Car10,Vip_Igfbp6_Pltp,Vip_Lect1_Oxtr,Vip_Lmo1_Fam159b,Vip_Lmo1_Myl1,Vip_Ptprt_Pkp2,Vip_Pygm_C1ql1,Vip_Rspo1_Itga4,Vip_Rspo4_Rxfp1
Pvalb_Gpr149_Islr,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.2,0.0,0.0,0.0,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pvalb_Reln_Itm2a,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14583333333333334,0.10416666666666667,0.020833333333333332,0.041666666666666664,0.08333333333333333,0.041666666666666664,0.22916666666666666,0.0,0.20833333333333334,0.10416666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.020833333333333332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pvalb_Reln_Tac1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1111111111111111,0.0,0.0,0.0,0.0,0.0,0.0,0.1111111111111111,0.5555555555555556,0.1111111111111111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1111111111111111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pvalb_Sema3e_Kank4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3055555555555556,0.0,0.0,0.0,0.1111111111111111,0.027777777777777776,0.2777777777777778,0.05555555555555555,0.08333333333333333,0.08333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027777777777777776,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027777777777777776,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pvalb_Th_Sst,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18181818181818182,0.09090909090909091,0.0,0.0,0.0,0.0,0.0,0.18181818181818182,0.18181818181818182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09090909090909091,0.09090909090909091,0.0,0.09090909090909091,0.0,0.09090909090909091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pvalb_Tpbg,0.0,0.0,0.0,0.0,0.0,0.02857142857142857,0.0,0.0,0.08571428571428572,0.0,0.02857142857142857,0.17142857142857143,0.11428571428571428,0.14285714285714285,0.0,0.2857142857142857,0.05714285714285714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02857142857142857,0.0,0.05714285714285714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pvalb_Vipr2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.4,0.2,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Serpinf1_Aqp5_Vip,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.42857142857142855,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,0.0,0.14285714285714285,0.14285714285714285,0.14285714285714285
Serpinf1_Clrn1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0
Sncg_Gpr50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
